GroupName	Name	Category	Kind	Value
	KasperskyAntivirus		Service	AVP
	KasperskyAntivirus		Service	klnagent
	KasperskyAntivirus		Service	klif
Kernel	AvastAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\aswSnx.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswSP.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswRdr2.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswStm.sys
	AvastAntivirus		Driver	C:\WINDOWS\system32\drivers\aswVmm.sys
	AvastAntivirus		Driver	C:\Program Files\AVAST Software
	AvastAntivirus		Driver	C:\Program Files (x86)\AVAST Software
	AvastAntivirus		Service	avast! Antivirus
	AvastAntivirus		Service	aswToolsSvc
	AvastAntivirus		Service	AvastWscReporter
	AvastAntivirus		Service	aswBcc
Kernel	AvgAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\avgidsdriverx.sys
	AvgAntivirus		Driver	C:\WINDOWS\system32\drivers\avgldx64.sys
	AvgAntivirus		Driver	C:\WINDOWS\system32\drivers\avgmfx64.sys
	AvgAntivirus		Driver	C:\Program Files\AVG
	AvgAntivirus		Driver	C:\Program Files (x86)\AVG
	AvgAntivirus		Service	AVG Antivirus
	AvgAntivirus		Service	avgwd
	AvgAntivirus		Service	AVGSvc
Kernel	BitdefenderAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\bdsvm.sys
	BitdefenderAntivirus		Driver	C:\WINDOWS\system32\drivers\bdselfpr.sys
	BitdefenderAntivirus		Driver	C:\WINDOWS\system32\drivers\atc.sys
	BitdefenderAntivirus		Driver	C:\WINDOWS\system32\drivers\gzflt.sys
	BitdefenderAntivirus		Driver	C:\Program Files\Bitdefender
	BitdefenderAntivirus		Driver	C:\Program Files\Bitdefender Agent
	BitdefenderAntivirus		Service	VSSERV
	BitdefenderAntivirus		Service	bdredline
	BitdefenderAntivirus		Service	BDUpdateService
	BitdefenderAntivirus		Service	EPSecurityService
Kernel	EsetAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\eamonm.sys
	EsetAntivirus		Driver	C:\WINDOWS\system32\drivers\ehdrv.sys
	EsetAntivirus		Driver	C:\WINDOWS\system32\drivers\epfwwfp.sys
	EsetAntivirus		Driver	C:\WINDOWS\system32\drivers\eamonm.sys
	EsetAntivirus		Driver	C:\Program Files\ESET
	EsetAntivirus		Driver	C:\Program Files (x86)\ESET
	EsetAntivirus		Service	ekrn
	EsetAntivirus		Service	eamonm
	EsetAntivirus		Service	ekrnEpfw
Kernel	McAfeeAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\mfehidk.sys
	McAfeeAntivirus		Driver	C:\WINDOWS\system32\drivers\mfefirek.sys
	McAfeeAntivirus		Driver	C:\WINDOWS\system32\drivers\mfeelamk.sys
	McAfeeAntivirus		Driver	C:\WINDOWS\system32\drivers\mfencbdc.sys
	McAfeeAntivirus		Driver	C:\Program Files\McAfee
	McAfeeAntivirus		Driver	C:\Program Files (x86)\McAfee
	McAfeeAntivirus		Service	masvc
	McAfeeAntivirus		Service	McAfeeFramework
	McAfeeAntivirus		Service	mfemms
	McAfeeAntivirus		Service	mfevtp
	McAfeeAntivirus		Service	mfefire
Kernel	NortonAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\BHDrvx64.sys
	NortonAntivirus		Driver	C:\WINDOWS\system32\drivers\SYMEFASI64.sys
	NortonAntivirus		Driver	C:\WINDOWS\system32\drivers\SYMEVENT64x86.sys
	NortonAntivirus		Driver	C:\WINDOWS\system32\drivers\SymDS64.sys
	NortonAntivirus		Driver	C:\Program Files\Norton
	NortonAntivirus		Driver	C:\Program Files (x86)\Norton
	NortonAntivirus		Driver	C:\Program Files\NortonSecurity
	NortonAntivirus		Service	Norton Security
	NortonAntivirus		Service	NortonSecurity
	NortonAntivirus		Service	ccSvcHst
	NortonAntivirus		Service	NS
Kernel	MalwarebytesAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\mbam.sys
	MalwarebytesAntivirus		Driver	C:\WINDOWS\system32\drivers\MBAMSwissArmy.sys
	MalwarebytesAntivirus		Driver	C:\WINDOWS\system32\drivers\mbamchameleon.sys
	MalwarebytesAntivirus		Driver	C:\WINDOWS\system32\drivers\farflt.sys
	MalwarebytesAntivirus		Driver	C:\Program Files\Malwarebytes
	MalwarebytesAntivirus		Driver	C:\Program Files (x86)\Malwarebytes
	MalwarebytesAntivirus		Service	MBAMService
	MalwarebytesAntivirus		Service	MBAMProtection
	MalwarebytesAntivirus		Service	MBAMWebProtection
Kernel	TrendMicroAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\tmcomm.sys
	TrendMicroAntivirus		Driver	C:\WINDOWS\system32\drivers\tmevtmgr.sys
	TrendMicroAntivirus		Driver	C:\WINDOWS\system32\drivers\tmactmon.sys
	TrendMicroAntivirus		Driver	C:\WINDOWS\system32\drivers\tmebc64.sys
	TrendMicroAntivirus		Driver	C:\Program Files\Trend Micro
	TrendMicroAntivirus		Driver	C:\Program Files (x86)\Trend Micro
	TrendMicroAntivirus		Service	TmCCSF
	TrendMicroAntivirus		Service	ntrtscan
	TrendMicroAntivirus		Service	TmPfw
	TrendMicroAntivirus		Service	TMBMServer
Kernel	AviraAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\avipbb.sys
	AviraAntivirus		Driver	C:\WINDOWS\system32\drivers\avkmgr.sys
	AviraAntivirus		Driver	C:\WINDOWS\system32\drivers\avgntflt.sys
	AviraAntivirus		Driver	C:\Program Files\Avira
	AviraAntivirus		Driver	C:\Program Files (x86)\Avira
	AviraAntivirus		Service	Avira.ServiceHost
	AviraAntivirus		Service	AntiVirService
	AviraAntivirus		Service	Avira.ShadowCopyService
Kernel	Security2345	Antivirus	Driver	C:\WINDOWS\system32\drivers\2345NetFirewall.sys
	Security2345		Driver	C:\WINDOWS\system32\drivers\2345FsFlt.sys
	Security2345		Driver	C:\Program Files (x86)\2345Soft\2345PCSafe
	Security2345		Driver	C:\Program Files\2345Soft\2345PCSafe
	Security2345		Service	2345SafeSvc
	Security2345		Service	2345SafeTray
	Security2345		Service	2345ScoutSvc
Kernel	BaiduAntivirus	Antivirus	Driver	C:\WINDOWS\system32\drivers\BDsdKit.sys
	BaiduAntivirus		Driver	C:\WINDOWS\system32\drivers\BDFileDefend.sys
	BaiduAntivirus		Driver	C:\Program Files (x86)\Baidu\BaiduSd
	BaiduAntivirus		Driver	C:\Program Files\Baidu\BaiduSd
	BaiduAntivirus		Driver	C:\Program Files (x86)\Baidu\BaiduAn
	BaiduAntivirus		Service	BaiduSdSvc
	BaiduAntivirus		Service	BaiduAnSvc
	BaiduAntivirus		Service	BDProtect
Kernel	QiAnXinTianqing	Antivirus	Driver	C:\WINDOWS\system32\drivers\qax*.sys
	QiAnXinTianqing		Driver	C:\Program Files (x86)\Qianxin
	QiAnXinTianqing		Driver	C:\Program Files\Qianxin
	QiAnXinTianqing		Driver	C:\Program Files (x86)\QiAnXin
	QiAnXinTianqing		Driver	C:\Program Files\QiAnXin
	QiAnXinTianqing		Service	QAXEntClient
	QiAnXinTianqing		Service	QAXSafe
	QiAnXinTianqing		Service	QaxFwFilter
	QiAnXinTianqing		Service	qaxnetmon
